Change component parameters: Designator = "D4" ("D4"); Footprint = "FP-6_541-5092_01-4-MFG"; UniqueID = "\HIIRFMVQ" ("\HIIRFMVQ")
Add component (AddParameter): Name = "Category"; Value = "Diode"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Colour"; Value = "Yellow Green"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.vishay.com/docs/82437/vlmo1300.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "LEDs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "LED GREEN 0603 SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Voltage"; Value = "2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Led Orientation"; Value = "Top View"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Intensity"; Value = "35mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "VLMG1300-GS08"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "LED; SMD; 0603; yellow green; 18-35mcd; 1.6x0.8x0.8mm; 130°; 2÷2.4V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/vlmg1300-gs08-vishay-21709199"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "6.541-5092.01-4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Emmision Wavelength"; Value = "574nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "75mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Voltage"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-35°C to +85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-35°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "130°"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength"; Value = "571nm"; VariantName = "[No Variations]"
Added Component: Designator=R12(RESC1609X50X30ML8T20)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.vishay.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.vishay.com/docs/20035/dcrcwe3.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "06/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1.575 x 0.85 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+3V3 Pin=D6-2
Added Pin To Net: NetName=GND Pin=R12-1
Added Pin To Net: NetName=NetD6_1 Pin=D6-1
Added Pin To Net: NetName=NetD6_1 Pin=R12-2
Added Net: Name=NetD6_1
Added Member To Class: ClassName=MainSchematic Member=Component D6 VLMG1300-GS08
Added Member To Class: ClassName=MainSchematic Member=Component R12 CRCW0603100RFKEA
Added Room: Name=MainSchematic
